 1,      100,   4.73
 1,      500,   4.70
 1,     1000,   4.66
 1,     1500,   4.70
 1,     3000,   4.71
 2,      100,   6.50
 2,      500,   9.40
 2,     1000,   9.37
 2,     1500,   9.38
 2,     3000,   9.38
 4,      100,  10.57
 4,      500,  18.51
 4,     1000,  18.21
 4,     1500,  18.12
 4,     3000,  18.28
 6,      100,  14.04
 6,      500,  25.86
 6,     1000,  25.74
 6,     1500,  26.04
 6,     3000,  25.65
 8,      100,  17.38
 8,      500,  33.34
 8,     1000,  33.14
 8,     1500,  33.58
 8,     3000,  33.39
12,      100,  23.90
12,      500,  44.84
12,     1000,  46.43
12,     1500,  45.67
12,     3000,  40.45
16,      100,  26.06
16,      500,  51.30
16,     1000,  59.43
16,     1500,  59.89
16,     3000,  49.83
20,      100,  32.26
20,      500,  60.63
20,     1000,  62.11
20,     1500,  62.57
20,     3000,  64.05
24,      100,  38.16
24,      500,  72.72
24,     1000,  73.04
24,     1500,  73.70
24,     3000,  75.55
32,      100,  68.19
32,      500,  96.84
32,     1000,  96.19
32,     1500,  97.32
32,     3000,  96.10
