      1024,        8,     7.1445,  29.69%
      1024,       32,     7.6445,  15.43%
      1024,      128,     8.3377,  16.31%
      4096,        8,    41.9672,  27.51%
      4096,       32,    50.4334,  25.10%
      4096,      128,    39.1677,  19.29%
     16384,        8,   143.0967,  29.81%
     16384,       32,   129.6859,  19.66%
     16384,      128,   155.1045,  29.35%
     65536,        8,   486.8077,  23.75%
     65536,       32,   488.2002,  28.77%
     65536,      128,   592.0786,  23.45%
    262144,        8,   717.1496,  25.94%
    262144,       32,  1750.8015,  20.12%
    262144,      128,  1587.5968,  17.53%
   1048576,        8,  1059.2190,  19.90%
   1048576,       32,  2506.1569,  22.16%
   1048576,      128,  3886.1480,  16.60%
   2097152,        8,  1102.4830,  26.91%
   2097152,       32,  3568.5272,  29.21%
   2097152,      128,  5308.7079,  23.62%
   4194304,        8,  1184.7138,  18.14%
   4194304,       32,  4097.1522,  28.37%
   4194304,      128,  6824.1784,  28.03%
